BOARD 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:00-10:40,,DE,,AK,,AN,,,19:00-20:40,,AK,,BS/BI,,YT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:40-12:20,,AI,,RI,,GP,,,20:40-22:20,,RI,,AN,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:20-14:00,,YT,,BS/BI,,BL,,,22:20-24:00,,DE,,BL,,AI,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00-15:20,,MI,,BE,,AK,,,00:00-03:00,,BS/BI,,AK,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:20-16:40,,RI,,AN,,DE,,,03:00-05:30,,MI,,BE,,07:00-09:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:40-17:50,,BS/BI,,MI,,AI,,,05:30-08:00,,AN,,YT,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:50-19:00,,BE,,BL,,GP,,,08:00-09:00,,DE,,RI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,İZİN,,AL,,,,,,,İZİN,,AL,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08.02.2025 GÜNDÜZ,,,,,,,,,09.02.2025 GECE,,,,,,,,,,,,,,,,,,,,,
,,,C/D,,EAST,,SPV,,,,,C/D,,EAST,,SPV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:00-10:40,,BL,,BE,,AN,,,19:00-20:40,,AN,,MI,,DE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:40-12:20,,DE,,BS/BI,,AI,,,20:40-22:20,,AK,,BE,,BL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:20-14:00,,YT,,AK,,GP,,,22:20-24:00,,BS/BI,,YT,,AI,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00-15:20,,RI,,MI,,BE,,,00:00-03:00,,MI,,GP,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:20-16:40,,AN,,BL,,DE,,,03:00-05:30,,AL,,RI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:40-17:50,,MI,,RI,,AI,,,05:30-08:00,,BL,,DE,,AI,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:50-19:00,,BS/BI,,YT,,GP,,,08:00-09:00,,BE,,AN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,İZİN,,AL,,,,,,,İZİN,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.02.2025 GÜNDÜZ,,,,,,,,,14.02.2025 GECE,,,,,,,,,,,,,,,,,,,,,
,,,C/D,,EAST,,SPV,,,,,C/D,,EAST,,SPV,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:00-10:40,,MI,,BL,,AI,,,19:00-20:40,,BI,,AI,,AK,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:40-12:20,,YT,,BS/BI,,GP,,,20:40-22:20,,YT,,MI,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:20-14:00,,RI,,AN,,AK,,,22:20-24:00,,AL,,DE,,RI,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00-15:20,,DE,,AL,,BE,,,00:00-03:00,,AN,,BE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:20-16:40,,BS/BI,,MI,,BL,,,03:00-05:30,,BS,,BL,,07:00-09:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:40-17:50,,BE,,DE,,AI,,,05:30-08:00,,MI,,AK,,GP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:50-19:00,,AL,,AK,,GP,,,08:00-09:00,,RI,,AL,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,İZİN,,,,,,,,,İZİN,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.02.2025 GÜNDÜZ Revize,,,,,,,,,19.02.2025 GECE,,,,,,,,, ÖRNEK GÜNDÜZ,,,,,,,,,,,,
,,,C/D,,EAST,,SPV,,,,,C/D,,EAST,,SPV,,,7 KİŞİ,,C/D,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:00-10:40,,AK,,MI,,AI,,,19:00-20:40,,RI,,BS/BI,,MI,,,09:00-10:40,,AI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:40-12:20,,BS,,YT,,MI,,,20:40-22:20,,AK,,BE,,AI,,,10:40-12:20,,BS,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:20-14:00,,BI,,BE,,AN,,,22:20-24:00,,BL,,AN,,GP,,,12:20-14:00,,BI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00-15:20,,BL,,AL,,RI,,,00:00-03:00,,BS/BI,,AL,,,,,14:00-15:40,,BS,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:20-16:40,,BS,,AK,,GP,,,03:00-05:30,,DE,,YT,,07:00-09:00,,,15:40-17:20,,AI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:40-17:50,,BE,,BI,,YT,,,05:30-08:00,,MI,,RI,,AI,,,17:20-19:00,,BS,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:50-19:00,,RI,,BL,,AL,,,08:00-09:00,,BE,,AK,,,,,İZİN,,DE,BL,RI,MI,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,İZİN,,DE,MI(1/2),,,,,,İZİN,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
